,indices,bandes,1,2,3,4,5,6,7,8
1,/,/,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI
2,/,/,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV
24,ND,ND_B3_B5,-0.31113715205545855,-0.2540684369075746,-0.22337090789161965,-0.16184351685277734,-0.23884605303277853,-0.27206343818744216,,
25,SR,SR_B3_B5,0.5301428049884807,0.5980834544686824,0.639302049581577,0.7236473566015522,0.6167569865453979,0.5759303331057403,,
26,ND,ND_B3_B6,-0.5134011882468261,-0.3973432385805074,-0.37672502246876416,-0.2655861112932671,-0.3743251820971543,-0.4590138296539445,,
27,SR,SR_B3_B6,0.3246211953336328,0.43405170875177,0.45642256535412074,0.5826521257726452,0.4567090608799451,0.3730662980246727,,
28,ND,ND_B3_B7,-0.5574058952292856,-0.4425546706394778,-0.41420282986533163,-0.29800993752959604,-0.41546962389280123,-0.5035049202657372,,
29,SR,SR_B3_B7,0.2868004124061256,0.3889327264641495,0.4177194406252137,0.5430701754530157,0.41428847913723615,0.3322703150314189,,
30,ND,ND_B3_B8,-0.5794478933628981,-0.4699461333553516,-0.43220734914121445,-0.3174144903209983,-0.44356074391014505,-0.525956918085145,,
31,SR,SR_B3_B8,0.26800274249453954,0.36266825147838516,0.4003657400221397,0.5196890334649678,0.3862760890289312,0.3117838076477977,,
32,ND,ND_B3_B8A,-0.6062297780281282,-0.4977036774005448,-0.45576818744608427,-0.34261807765999924,-0.46813176306135734,-0.5489685574777032,,
33,SR,SR_B3_B8A,0.24711706135578163,0.3374168027989944,0.3774192028399202,0.4915688954019345,0.36337735371005886,0.2928065491267265,,
34,ND,ND_B3_B11,-0.5948299187488603,-0.5466991253344027,-0.4767593568095423,-0.41102268867340186,-0.5234252069375271,-0.5331313898596486,,
35,SR,SR_B3_B11,0.25572738212722546,0.2944555114135081,0.3583210747679268,0.4186601931043343,0.3138099643704837,0.30587736712582825,,
